player,team,league,season,position,age,minutes,team_possession_pct,psxg_net_per90,save_pct,pass_completion_pct,passes_completed_long_pct,def_actions_outside_pen_per90,crosses_stopped_pct,avg_dist_def_actions,progressive_passes_per90,progressive_passing_distance_per90,passes_into_final_third_per90,progressive_carries_per90,take_on_success_pct,padj_tackles_per90,padj_interceptions_per90,ball_recoveries_per90,blocks_per90,aerial_win_pct,tackle_win_pct,xAG_per90,sca_per90,key_passes_per90,passes_into_penalty_area_per90,take_ons_attempted_per90,tackles_att_3rd_per90,npxG_per90,shots_total_per90,touches_att_pen_per90,carries_into_penalty_area_per90,shots_on_target_pct
Moi Gomez,Osasuna,La Liga,2025/26,CM,30,1107,47.0,,,87.2,,,,,8.84,,7.39,2.6,52.4,2.95,2.57,8.67,1.63,55.8,,0.1,1.67,2.48,1.88,,,0.18,,,,
Moi Gomez,Osasuna,La Liga,2024/25,CM,29,1107,47.0,,,88.9,,,,,9.02,,7.54,2.65,53.4,3.01,2.62,8.84,1.66,56.9,,0.1,1.7,2.53,1.92,,,0.18,,,,
Ruben Garcia,Osasuna,La Liga,2025/26,W,31,2356,47.0,,,,,,,,3.97,,,6.94,65.0,2.1,1.14,4.04,,,,0.26,4.19,1.97,,3.67,1.08,0.23,3.42,6.99,1.93,
Ruben Garcia,Osasuna,La Liga,2024/25,W,30,2356,47.0,,,,,,,,4.17,,,7.29,68.2,2.21,1.2,4.24,,,,0.27,4.4,2.07,,3.85,1.13,0.24,3.59,7.34,2.03,
Bryan Zaragoza,Osasuna,La Liga,2025/26,W,23,2713,47.0,,,,,,,,5.47,,,4.12,64.9,2.01,0.5,2.06,,,,0.35,4.79,1.52,,5.35,0.21,0.18,3.92,3.94,1.44,
Bryan Zaragoza,Osasuna,La Liga,2024/25,W,22,2713,47.0,,,,,,,,5.25,,,3.96,62.3,1.93,0.48,1.98,,,,0.34,4.6,1.46,,5.14,0.2,0.17,3.76,3.78,1.38,
Jose Arnaiz,Osasuna,La Liga,2025/26,W,29,795,47.0,,,,,,,,3.42,,,5.53,57.1,1.23,0.34,3.25,,,,0.21,3.08,1.83,,6.73,0.93,0.35,3.94,5.67,1.77,
Jose Arnaiz,Osasuna,La Liga,2024/25,W,28,900,47.0,,,,,,,,3.49,,,5.64,58.2,1.25,0.35,3.31,,,,0.21,3.14,1.87,,6.86,0.95,0.36,4.02,5.78,1.81,
Iker Benito,Osasuna,La Liga,2025/26,W,22,2239,47.0,,,,,,,,3.33,,,6.94,46.9,2.38,1.28,4.15,,,,0.37,3.22,2.95,,7.66,0.47,0.38,2.43,5.56,1.82,
Iker Benito,Osasuna,La Liga,2024/25,W,21,2239,47.0,,,,,,,,3.2,,,6.66,45.0,2.28,1.23,3.98,,,,0.36,3.09,2.83,,7.35,0.45,0.36,2.33,5.34,1.75,
Ante Budimir,Osasuna,La Liga,2025/26,ST,33,943,47.0,,,71.6,,,,,,,,,,0.99,,1.51,,43.9,,0.13,1.72,1.43,,,0.24,0.72,4.04,8.02,0.93,51.3
Ante Budimir,Osasuna,La Liga,2024/25,ST,32,943,47.0,,,75.2,,,,,,,,,,1.04,,1.59,,46.1,,0.14,1.81,1.5,,,0.25,0.76,4.24,8.42,0.98,53.9
Raul Garcia,Osasuna,La Liga,2025/26,ST,23,535,47.0,,,75.5,,,,,,,,,,0.8,,1.79,,38.9,,0.14,2.9,0.57,,,0.68,0.74,3.82,5.73,2.29,46.9
Raul Garcia,Osasuna,La Liga,2024/25,ST,22,900,47.0,,,72.5,,,,,,,,,,0.77,,1.72,,37.3,,0.13,2.78,0.55,,,0.65,0.71,3.67,5.5,2.2,45.0
David Soria,Getafe,La Liga,2025/26,GK,31,3023,41.5,-0.13,76.5,84.6,53.3,1.13,6.2,10.7,,,,,,,,,,,,,,,,,,,,,,
David Soria,Getafe,La Liga,2024/25,GK,30,3023,41.5,0.0,80.3,88.8,56.0,1.19,10.0,11.23,,,,,,,,,,,,,,,,,,,,,,
Jiri Letacek,Getafe,La Liga,2025/26,GK,25,1438,41.5,-0.02,67.1,60.9,50.4,2.49,10.6,11.6,,,,,,,,,,,,,,,,,,,,,,
Jiri Letacek,Getafe,La Liga,2024/25,GK,24,1438,41.5,0.0,68.4,62.1,51.4,2.54,10.8,11.83,,,,,,,,,,,,,,,,,,,,,,
Djene,Getafe,La Liga,2025/26,CB,32,1462,41.5,,,84.4,,,,,3.45,315.2,3.25,2.02,68.9,1.95,1.87,4.28,1.81,50.3,67.7,,,,,,,,,,,
Djene,Getafe,La Liga,2024/25,CB,31,1462,41.5,,,88.6,,,,,3.62,330.96,3.41,2.12,72.3,2.05,1.96,4.49,1.9,52.8,71.1,,,,,,,,,,,
Omar Alderete,Getafe,La Liga,2025/26,CB,27,2199,41.5,,,78.5,,,,,5.47,345.2,4.0,1.07,46.5,3.13,1.11,4.5,2.55,54.7,63.1,,,,,,,,,,,
Omar Alderete,Getafe,La Liga,2024/25,CB,26,2199,41.5,,,80.1,,,,,5.58,352.1,4.08,1.09,47.4,3.19,1.13,4.59,2.6,55.8,64.4,,,,,,,,,,,
Domingos Duarte,Getafe,La Liga,2025/26,CB,29,3075,41.5,,,77.6,,,,,4.46,332.8,4.53,2.13,48.6,1.23,2.73,6.45,1.43,61.1,77.2,,,,,,,,,,,
Domingos Duarte,Getafe,La Liga,2024/25,CB,28,3075,41.5,,,79.2,,,,,4.55,339.46,4.62,2.17,49.6,1.25,2.78,6.58,1.46,62.3,78.7,,,,,,,,,,,
Nabil Aberdin,Getafe,La Liga,2025/26,CB,22,768,41.5,,,76.5,,,,,5.03,463.6,1.62,0.82,60.9,1.8,3.16,4.91,2.13,59.5,65.9,,,,,,,,,,,
Nabil Aberdin,Getafe,La Liga,2024/25,CB,21,900,41.5,,,73.4,,,,,4.83,445.06,1.56,0.79,58.5,1.73,3.03,4.71,2.04,57.1,63.3,,,,,,,,,,,
Juan Iglesias,Getafe,La Liga,2025/26,FB,26,1274,41.5,,,80.6,,,,,6.1,,4.26,2.24,55.7,2.08,2.08,4.11,,46.4,,0.16,2.07,0.7,0.87,2.84,0.38,,,,,
Juan Iglesias,Getafe,La Liga,2024/25,FB,25,1274,41.5,,,82.2,,,,,6.22,,4.35,2.28,56.8,2.12,2.12,4.19,,47.3,,0.16,2.11,0.71,0.89,2.9,0.39,,,,,
Diego Rico,Getafe,La Liga,2025/26,FB,31,2165,41.5,,,77.5,,,,,3.51,,5.96,4.32,68.5,1.91,1.74,7.19,,58.6,,0.09,1.5,1.49,0.71,2.53,0.11,,,,,
Diego Rico,Getafe,La Liga,2024/25,FB,30,2165,41.5,,,81.4,,,,,3.69,,6.26,4.54,71.9,2.01,1.83,7.55,,61.5,,0.09,1.58,1.56,0.75,2.66,0.12,,,,,
Alex Sola,Getafe,La Liga,2025/26,FB,25,2230,41.5,,,76.9,,,,,3.7,,3.76,2.52,69.6,2.42,2.74,6.16,,44.8,,0.23,3.22,1.75,0.52,3.87,0.23,,,,,
Alex Sola,Getafe,La Liga,2024/25,FB,24,2230,41.5,,,78.4,,,,,3.77,,3.84,2.57,71.0,2.47,2.79,6.28,,45.7,,0.23,3.28,1.79,0.53,3.95,0.23,,,,,
Luis Milla,Getafe,La Liga,2025/26,CM,29,1954,41.5,,,85.6,,,,,6.05,,6.59,2.04,62.8,3.66,2.81,8.33,1.45,43.7,,0.1,3.45,1.35,0.87,,,0.1,,,,
Luis Milla,Getafe,La Liga,2024/25,CM,28,1954,41.5,,,87.3,,,,,6.17,,6.72,2.08,64.1,3.73,2.87,8.5,1.48,44.6,,0.1,3.52,1.38,0.89,,,0.1,,,,
Mauro Arambarri,Getafe,La Liga,2025/26,CM,28,2185,41.5,,,75.1,,,,,8.07,,6.62,1.99,74.1,4.08,3.37,8.74,2.37,40.3,,0.21,1.64,1.72,1.15,,,0.09,,,,
Mauro Arambarri,Getafe,La Liga,2024/25,CM,27,2185,41.5,,,76.6,,,,,8.23,,6.75,2.03,75.6,4.16,3.44,8.91,2.42,41.1,,0.21,1.67,1.75,1.17,,,0.09,,,,
Carles Alena,Getafe,La Liga,2025/26,CM,26,1339,41.5,,,78.0,,,,,8.99,,3.96,2.91,71.6,3.77,2.72,6.86,1.2,42.3,,0.19,2.61,1.98,2.02,,,0.14,,,,
Carles Alena,Getafe,La Liga,2024/25,CM,25,1339,41.5,,,79.6,,,,,9.17,,4.04,2.97,73.0,3.85,2.77,7.0,1.22,43.1,,0.19,2.66,2.02,2.06,,,0.14,,,,
Uche,Getafe,La Liga,2025/26,CM,21,2576,41.5,,,78.0,,,,,6.62,,5.91,3.74,56.5,4.18,2.42,8.9,0.87,42.8,,0.21,3.84,0.73,1.89,,,0.16,,,,
Uche,Getafe,La Liga,2024/25,CM,20,2576,41.5,,,71.8,,,,,6.09,,5.44,3.44,52.0,3.85,2.23,8.19,0.8,39.4,,0.19,3.53,0.67,1.74,,,0.15,,,,
Yellu Santiago,Getafe,La Liga,2025/26,CM,20,2708,41.5,,,88.8,,,,,5.54,,5.73,3.95,56.2,2.76,2.39,7.76,2.16,50.0,,0.2,2.47,2.5,0.95,,,0.25,,,,
Yellu Santiago,Getafe,La Liga,2024/25,CM,19,2301,41.5,,,81.7,,,,,5.1,,5.27,3.63,51.7,2.54,2.2,7.14,1.99,46.0,,0.18,2.27,2.3,0.87,,,0.23,,,,
Carles Perez,Getafe,La Liga,2025/26,W,26,673,41.5,,,,,,,,3.78,,,4.33,46.0,1.54,0.5,2.71,,,,0.36,4.8,2.9,,4.06,0.72,0.43,2.09,4.24,2.67,
Carles Perez,Getafe,La Liga,2024/25,W,25,900,41.5,,,,,,,,3.86,,,4.42,46.9,1.57,0.51,2.76,,,,0.37,4.9,2.96,,4.14,0.73,0.44,2.13,4.32,2.72,
Peter Federico,Getafe,La Liga,2025/26,W,22,656,41.5,,,,,,,,4.18,,,4.56,63.9,2.06,0.72,4.41,,,,0.36,5.12,2.67,,5.51,0.59,0.29,2.95,3.5,1.13,
Peter Federico,Getafe,La Liga,2024/25,W,21,900,41.5,,,,,,,,4.01,,,4.38,61.3,1.98,0.69,4.23,,,,0.35,4.92,2.56,,5.29,0.57,0.28,2.83,3.36,1.08,
Borja Mayoral,Getafe,La Liga,2025/26,ST,27,1103,41.5,,,71.0,,,,,,,,,,0.98,,3.35,,52.8,,0.11,3.08,0.96,,,0.4,0.63,2.87,7.69,1.23,52.9
Borja Mayoral,Getafe,La Liga,2024/25,ST,26,1103,41.5,,,72.4,,,,,,,,,,1.0,,3.42,,53.9,,0.11,3.14,0.98,,,0.41,0.64,2.93,7.84,1.25,54.0
Bertug Yildirim,Getafe,La Liga,2025/26,ST,22,533,41.5,,,82.0,,,,,,,,,,1.01,,1.81,,44.7,,0.21,2.44,1.96,,,0.24,0.35,4.95,5.47,1.7,50.8
Bertug Yildirim,Getafe,La Liga,2024/25,ST,21,900,41.5,,,78.7,,,,,,,,,,0.97,,1.74,,42.9,,0.2,2.34,1.88,,,0.23,0.34,4.75,5.25,1.63,48.8
Alvaro Rodriguez,Getafe,La Liga,2025/26,ST,20,2515,41.5,,,70.6,,,,,,,,,,0.32,,2.44,,54.1,,0.22,3.35,1.33,,,0.61,0.55,3.35,6.13,2.08,47.1
Alvaro Rodriguez,Getafe,La Liga,2024/25,ST,19,2137,41.5,,,65.0,,,,,,,,,,0.29,,2.24,,49.8,,0.2,3.08,1.22,,,0.56,0.51,3.08,5.64,1.91,43.3
Vicente Guaita,Celta Vigo,La Liga,2025/26,GK,37,871,48.0,0.05,64.1,78.5,51.4,1.25,6.2,14.4,,,,,,,,,,,,,,,,,,,,,,
Vicente Guaita,Celta Vigo,La Liga,2024/25,GK,36,900,48.0,0.05,67.3,82.4,54.0,1.31,10.0,15.12,,,,,,,,,,,,,,,,,,,,,,
Ivan Villar,Celta Vigo,La Liga,2025/26,GK,27,2865,48.0,0.29,68.1,63.1,32.9,0.97,6.6,11.2,,,,,,,,,,,,,,,,,,,,,,
Ivan Villar,Celta Vigo,La Liga,2024/25,GK,26,2865,48.0,0.3,69.5,64.4,33.6,0.99,10.0,11.42,,,,,,,,,,,,,,,,,,,,,,
Carl Starfelt,Celta Vigo,La Liga,2025/26,CB,29,556,48.0,,,85.9,,,,,5.18,418.0,1.96,2.2,41.9,2.13,1.5,4.06,1.77,64.1,66.6,,,,,,,,,,,
Carl Starfelt,Celta Vigo,La Liga,2024/25,CB,28,900,48.0,,,87.6,,,,,5.28,426.36,2.0,2.24,42.7,2.17,1.53,4.14,1.81,65.4,67.9,,,,,,,,,,,
Joseph Aidoo,Celta Vigo,La Liga,2025/26,CB,28,1428,48.0,,,76.5,,,,,4.59,467.5,4.94,1.24,62.4,1.48,3.33,6.44,1.99,62.0,73.0,,,,,,,,,,,
Joseph Aidoo,Celta Vigo,La Liga,2024/25,CB,27,1428,48.0,,,78.0,,,,,4.68,476.85,5.04,1.26,63.6,1.51,3.4,6.57,2.03,63.2,74.5,,,,,,,,,,,
Jailson,Celta Vigo,La Liga,2025/26,CB,28,612,48.0,,,85.9,,,,,3.35,236.3,4.23,2.12,45.3,2.62,1.97,4.39,1.5,59.7,81.9,,,,,,,,,,,
Jailson,Celta Vigo,La Liga,2024/25,CB,27,900,48.0,,,87.6,,,,,3.42,241.03,4.31,2.16,46.2,2.67,2.01,4.48,1.53,60.9,83.5,,,,,,,,,,,
Carlos Dominguez,Celta Vigo,La Liga,2025/26,CB,23,1836,48.0,,,77.9,,,,,4.46,356.1,3.23,0.59,41.9,2.19,2.87,6.63,2.66,66.7,65.1,,,,,,,,,,,
Carlos Dominguez,Celta Vigo,La Liga,2024/25,CB,22,1836,48.0,,,74.8,,,,,4.28,341.86,3.1,0.57,40.2,2.1,2.76,6.36,2.55,64.0,62.5,,,,,,,,,,,
Oscar Mingueza,Celta Vigo,La Liga,2025/26,FB,25,566,48.0,,,81.9,,,,,3.99,,5.91,3.81,50.9,3.37,2.35,6.85,,42.9,,0.16,2.96,0.58,0.72,3.24,0.46,,,,,
Oscar Mingueza,Celta Vigo,La Liga,2024/25,FB,24,900,48.0,,,83.5,,,,,4.07,,6.03,3.89,51.9,3.44,2.4,6.99,,43.8,,0.16,3.02,0.59,0.73,3.3,0.47,,,,,
Hugo Alvarez,Celta Vigo,La Liga,2025/26,FB,21,1024,48.0,,,87.7,,,,,5.93,,4.17,1.97,60.5,1.68,2.64,7.6,,45.6,,0.17,2.38,1.01,0.99,3.34,0.22,,,,,
Hugo Alvarez,Celta Vigo,La Liga,2024/25,FB,20,1024,48.0,,,80.7,,,,,5.46,,3.84,1.81,55.7,1.55,2.43,6.99,,42.0,,0.16,2.19,0.93,0.91,3.07,0.2,,,,,
Javier Manquillo,Celta Vigo,La Liga,2025/26,FB,30,1396,48.0,,,84.1,,,,,6.64,,5.02,3.01,41.3,3.19,2.44,6.4,,45.4,,0.23,2.09,1.06,1.7,3.59,0.36,,,,,
Javier Manquillo,Celta Vigo,La Liga,2024/25,FB,29,1396,48.0,,,85.8,,,,,6.77,,5.12,3.07,42.1,3.25,2.49,6.53,,46.3,,0.23,2.13,1.08,1.73,3.66,0.37,,,,,
Marcos Alonso,Celta Vigo,La Liga,2025/26,FB,33,1172,48.0,,,85.4,,,,,5.08,,4.92,3.05,48.2,2.6,2.36,4.67,,58.8,,0.1,2.13,1.36,1.82,2.83,0.35,,,,,
Marcos Alonso,Celta Vigo,La Liga,2024/25,FB,32,1172,48.0,,,89.7,,,,,5.33,,5.17,3.2,50.6,2.73,2.48,4.9,,61.7,,0.11,2.24,1.43,1.91,2.97,0.37,,,,,
Fran Beltran,Celta Vigo,La Liga,2025/26,CM,25,3179,48.0,,,80.2,,,,,8.05,,4.04,1.77,56.7,3.15,2.32,5.18,1.29,55.0,,0.23,4.09,0.65,2.36,,,0.11,,,,
Fran Beltran,Celta Vigo,La Liga,2024/25,CM,24,3179,48.0,,,81.8,,,,,8.21,,4.12,1.81,57.8,3.21,2.37,5.28,1.32,56.1,,0.23,4.17,0.66,2.41,,,0.11,,,,
Hugo Sotelo,Celta Vigo,La Liga,2025/26,CM,20,955,48.0,,,80.6,,,,,4.3,,5.52,3.12,58.4,3.7,1.6,8.92,1.42,60.5,,0.18,2.23,0.96,0.97,,,0.1,,,,
Hugo Sotelo,Celta Vigo,La Liga,2024/25,CM,19,900,48.0,,,74.2,,,,,3.96,,5.08,2.87,53.7,3.4,1.47,8.21,1.31,55.7,,0.17,2.05,0.88,0.89,,,0.09,,,,
Damian Rodriguez,Celta Vigo,La Liga,2025/26,CM,21,877,48.0,,,83.9,,,,,5.29,,4.79,2.16,64.6,3.05,1.64,5.27,1.62,61.2,,0.29,4.25,1.59,0.87,,,0.05,,,,
Damian Rodriguez,Celta Vigo,La Liga,2024/25,CM,20,900,48.0,,,77.2,,,,,4.87,,4.41,1.99,59.4,2.81,1.51,4.85,1.49,56.3,,0.27,3.91,1.46,0.8,,,0.05,,,,
Ilaix Moriba,Celta Vigo,La Liga,2025/26,CM,21,932,48.0,,,90.4,,,,,5.43,,3.58,2.2,70.2,1.76,1.62,7.2,1.57,42.8,,0.23,2.79,1.49,1.77,,,0.11,,,,
Ilaix Moriba,Celta Vigo,La Liga,2024/25,CM,20,932,48.0,,,83.2,,,,,5.0,,3.29,2.02,64.6,1.62,1.49,6.62,1.44,39.4,,0.21,2.57,1.37,1.63,,,0.1,,,,
Williot Swedberg,Celta Vigo,La Liga,2025/26,CM,20,2202,48.0,,,89.9,,,,,8.97,,4.23,3.06,48.3,4.29,3.14,5.68,1.77,58.0,,0.11,1.84,1.2,0.77,,,0.21,,,,
Williot Swedberg,Celta Vigo,La Liga,2024/25,CM,19,1871,48.0,,,82.7,,,,,8.25,,3.89,2.82,44.4,3.95,2.89,5.23,1.63,53.4,,0.1,1.69,1.1,0.71,,,0.19,,,,
Iago Aspas,Celta Vigo,La Liga,2025/26,W,37,3107,48.0,,,,,,,,3.96,,,4.03,52.9,0.53,0.45,4.9,,,,0.35,4.85,2.44,,7.73,1.06,0.29,3.53,3.32,1.91,
Iago Aspas,Celta Vigo,La Liga,2024/25,W,36,3107,48.0,,,,,,,,4.16,,,4.23,55.5,0.56,0.47,5.15,,,,0.37,5.09,2.56,,8.12,1.11,0.3,3.71,3.49,2.01,
Jonathan Bamba,Celta Vigo,La Liga,2025/26,W,28,3151,48.0,,,,,,,,2.72,,,5.92,45.7,0.76,0.63,3.34,,,,0.33,2.86,2.29,,5.43,0.43,0.43,3.64,3.12,3.24,
Jonathan Bamba,Celta Vigo,La Liga,2024/25,W,27,3151,48.0,,,,,,,,2.77,,,6.04,46.6,0.78,0.64,3.41,,,,0.34,2.92,2.34,,5.54,0.44,0.44,3.71,3.18,3.3,
Franco Cervi,Celta Vigo,La Liga,2025/26,W,30,3000,48.0,,,,,,,,4.91,,,4.13,60.2,1.15,0.59,3.36,,,,0.38,3.4,2.07,,5.99,0.9,0.41,3.15,6.24,2.03,
Franco Cervi,Celta Vigo,La Liga,2024/25,W,29,3000,48.0,,,,,,,,5.01,,,4.21,61.4,1.17,0.6,3.43,,,,0.39,3.47,2.11,,6.11,0.92,0.42,3.21,6.36,2.07,
Alfon Gonzalez,Celta Vigo,La Liga,2025/26,W,25,2885,48.0,,,,,,,,2.29,,,5.6,45.4,2.36,0.23,3.96,,,,0.35,3.01,1.68,,6.94,1.19,0.34,3.7,7.41,2.47,
Alfon Gonzalez,Celta Vigo,La Liga,2024/25,W,24,2885,48.0,,,,,,,,2.34,,,5.71,46.3,2.41,0.23,4.04,,,,0.36,3.07,1.71,,7.08,1.21,0.35,3.77,7.56,2.52,
Borja Iglesias,Celta Vigo,La Liga,2025/26,ST,31,2107,48.0,,,74.9,,,,,,,,,,0.59,,3.29,,54.1,,0.15,2.76,1.2,,,0.78,0.63,4.97,4.06,1.03,48.9
Borja Iglesias,Celta Vigo,La Liga,2024/25,ST,30,2107,48.0,,,78.6,,,,,,,,,,0.62,,3.45,,56.8,,0.16,2.9,1.26,,,0.82,0.66,5.22,4.26,1.08,51.3
Tasos Douvikas,Celta Vigo,La Liga,2025/26,ST,25,624,48.0,,,77.1,,,,,,,,,,1.33,,2.78,,30.7,,0.11,2.47,1.02,,,0.56,0.72,4.51,7.98,2.13,41.8
Tasos Douvikas,Celta Vigo,La Liga,2024/25,ST,24,900,48.0,,,78.6,,,,,,,,,,1.36,,2.84,,31.3,,0.11,2.52,1.04,,,0.57,0.73,4.6,8.14,2.17,42.6
Pablo Duran,Celta Vigo,La Liga,2025/26,ST,23,698,48.0,,,75.1,,,,,,,,,,0.65,,2.28,,30.4,,0.23,1.78,1.3,,,0.18,0.59,2.63,8.32,0.85,44.3
Pablo Duran,Celta Vigo,La Liga,2024/25,ST,22,900,48.0,,,72.1,,,,,,,,,,0.62,,2.19,,29.2,,0.22,1.71,1.25,,,0.17,0.57,2.52,7.99,0.82,42.5
Stole Dimitrievski,Rayo Vallecano,La Liga,2025/26,GK,30,1857,49.0,0.06,72.2,85.9,34.9,2.14,4.7,18.0,,,,,,,,,,,,,,,,,,,,,,
Stole Dimitrievski,Rayo Vallecano,La Liga,2024/25,GK,29,1857,49.0,0.06,73.6,87.6,35.6,2.18,10.0,18.36,,,,,,,,,,,,,,,,,,,,,,
Dani Cardenas,Rayo Vallecano,La Liga,2025/26,GK,27,2830,49.0,-0.07,69.8,75.6,57.3,1.47,6.1,11.3,,,,,,,,,,,,,,,,,,,,,,
Dani Cardenas,Rayo Vallecano,La Liga,2024/25,GK,26,2830,49.0,0.0,71.2,77.1,58.4,1.5,10.0,11.53,,,,,,,,,,,,,,,,,,,,,,
Florian Lejeune,Rayo Vallecano,La Liga,2025/26,CB,33,1268,49.0,,,86.0,,,,,5.75,478.0,4.77,1.21,57.1,3.38,1.94,4.26,1.62,52.5,77.8,,,,,,,,,,,
Florian Lejeune,Rayo Vallecano,La Liga,2024/25,CB,32,1268,49.0,,,90.3,,,,,6.04,501.9,5.01,1.27,60.0,3.55,2.04,4.47,1.7,55.1,81.7,,,,,,,,,,,
Abdul Mumin,Rayo Vallecano,La Liga,2025/26,CB,26,890,49.0,,,77.4,,,,,5.1,448.0,3.97,0.72,67.3,2.9,3.15,4.71,1.33,60.2,66.1,,,,,,,,,,,
Abdul Mumin,Rayo Vallecano,La Liga,2024/25,CB,25,900,49.0,,,78.9,,,,,5.2,456.96,4.05,0.73,68.6,2.96,3.21,4.8,1.36,61.4,67.4,,,,,,,,,,,
Aridane Hernandez,Rayo Vallecano,La Liga,2025/26,CB,35,3126,49.0,,,91.4,,,,,2.49,404.8,1.23,1.29,75.0,2.04,2.33,7.33,1.6,56.2,55.8,,,,,,,,,,,
Aridane Hernandez,Rayo Vallecano,La Liga,2024/25,CB,34,3126,49.0,,,96.0,,,,,2.61,425.04,1.29,1.35,78.8,2.14,2.45,7.7,1.68,59.0,58.6,,,,,,,,,,,
Pelayo Fernandez,Rayo Vallecano,La Liga,2025/26,CB,21,2617,49.0,,,88.9,,,,,3.81,204.0,1.28,0.61,59.8,1.49,1.58,6.47,1.72,71.2,81.9,,,,,,,,,,,
Pelayo Fernandez,Rayo Vallecano,La Liga,2024/25,CB,20,2617,49.0,,,81.8,,,,,3.51,187.68,1.18,0.56,55.0,1.37,1.45,5.95,1.58,65.5,75.3,,,,,,,,,,,
Ivan Balliu,Rayo Vallecano,La Liga,2025/26,FB,32,2111,49.0,,,71.6,,,,,6.44,,4.92,1.61,57.1,2.4,1.47,7.25,,59.8,,0.19,2.7,1.61,0.58,3.68,0.65,,,,,
Ivan Balliu,Rayo Vallecano,La Liga,2024/25,FB,31,2111,49.0,,,75.2,,,,,6.76,,5.17,1.69,60.0,2.52,1.54,7.61,,62.8,,0.2,2.84,1.69,0.61,3.86,0.68,,,,,
Alfonso Espino,Rayo Vallecano,La Liga,2025/26,FB,32,1155,49.0,,,79.5,,,,,3.72,,4.43,3.02,45.8,2.75,2.4,4.83,,60.1,,0.12,2.6,2.0,0.93,1.6,0.59,,,,,
Alfonso Espino,Rayo Vallecano,La Liga,2024/25,FB,31,1155,49.0,,,83.5,,,,,3.91,,4.65,3.17,48.1,2.89,2.52,5.07,,63.1,,0.13,2.73,2.1,0.98,1.68,0.62,,,,,
Pep Chavarria,Rayo Vallecano,La Liga,2025/26,FB,26,794,49.0,,,77.5,,,,,6.99,,2.71,2.11,52.8,3.59,1.07,7.83,,54.6,,0.1,2.0,0.59,1.02,1.91,0.29,,,,,
Pep Chavarria,Rayo Vallecano,La Liga,2024/25,FB,25,900,49.0,,,79.0,,,,,7.13,,2.76,2.15,53.9,3.66,1.09,7.99,,55.7,,0.1,2.04,0.6,1.04,1.95,0.3,,,,,
Andrei Ratiu,Rayo Vallecano,La Liga,2025/26,FB,26,991,49.0,,,77.4,,,,,5.08,,2.47,3.86,47.3,3.58,1.47,5.95,,51.2,,0.06,2.22,1.45,0.95,3.36,0.21,,,,,
Andrei Ratiu,Rayo Vallecano,La Liga,2024/25,FB,25,991,49.0,,,78.9,,,,,5.18,,2.52,3.94,48.2,3.65,1.5,6.07,,52.2,,0.06,2.26,1.48,0.97,3.43,0.21,,,,,
Oscar Valentin,Rayo Vallecano,La Liga,2025/26,CM,30,2032,49.0,,,86.5,,,,,7.36,,7.81,3.63,70.0,2.06,1.83,7.24,2.49,41.1,,0.16,1.64,2.08,1.08,,,0.1,,,,
Oscar Valentin,Rayo Vallecano,La Liga,2024/25,CM,29,2032,49.0,,,88.2,,,,,7.51,,7.97,3.7,71.4,2.1,1.87,7.38,2.54,41.9,,0.16,1.67,2.12,1.1,,,0.1,,,,
Unai Lopez,Rayo Vallecano,La Liga,2025/26,CM,28,2460,49.0,,,75.5,,,,,8.11,,4.83,2.87,63.2,3.74,2.29,8.68,1.94,64.4,,0.07,2.21,0.91,0.89,,,0.12,,,,
Unai Lopez,Rayo Vallecano,La Liga,2024/25,CM,27,2460,49.0,,,77.0,,,,,8.27,,4.93,2.93,64.5,3.81,2.34,8.85,1.98,65.7,,0.07,2.25,0.93,0.91,,,0.12,,,,
Pathe Ciss,Rayo Vallecano,La Liga,2025/26,CM,30,2856,49.0,,,87.4,,,,,8.8,,6.28,1.72,53.4,3.48,3.26,6.55,1.07,40.6,,0.2,2.52,2.08,0.99,,,0.25,,,,
Pathe Ciss,Rayo Vallecano,La Liga,2024/25,CM,29,2856,49.0,,,89.1,,,,,8.98,,6.41,1.75,54.5,3.55,3.33,6.68,1.09,41.4,,0.2,2.57,2.12,1.01,,,0.26,,,,
Gerard Gumbau,Rayo Vallecano,La Liga,2025/26,CM,29,1814,49.0,,,89.4,,,,,7.73,,7.15,2.89,69.0,2.03,1.83,6.1,1.25,53.7,,0.12,3.18,0.51,1.52,,,0.17,,,,
Gerard Gumbau,Rayo Vallecano,La Liga,2024/25,CM,28,1814,49.0,,,91.2,,,,,7.88,,7.29,2.95,70.4,2.07,1.87,6.22,1.27,54.8,,0.12,3.24,0.52,1.55,,,0.17,,,,
Isi Palazon,Rayo Vallecano,La Liga,2025/26,CM,29,2547,49.0,,,87.9,,,,,5.77,,7.65,2.97,49.8,2.25,1.02,6.56,2.01,51.6,,0.26,4.4,1.47,1.63,,,0.09,,,,
Isi Palazon,Rayo Vallecano,La Liga,2024/25,CM,28,2547,49.0,,,89.7,,,,,5.89,,7.8,3.03,50.8,2.29,1.04,6.69,2.05,52.6,,0.27,4.49,1.5,1.66,,,0.09,,,,
James Rodriguez,Rayo Vallecano,La Liga,2025/26,CM,33,2897,49.0,,,85.5,,,,,5.35,,6.35,2.02,62.7,4.25,2.3,5.02,1.13,53.1,,0.11,1.52,1.57,2.29,,,0.22,,,,
